         220134140 function calls (207474231 primitive calls) in 485.391 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    2.065    0.138 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\algorithm_interface\algorithm_interface.py:487(calculate_run_times)
      406    0.001    0.000    2.021    0.005 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\algorithm_platform_json_to_aidm_converter.py:44(convert_json_to_algorithm_train)
      205    0.009    0.000    2.012    0.010 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:1968(check_tpn_departure_feasibility)
      406    0.006    0.000    1.993    0.005 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\algorithm_platform_json_to_aidm_converter.py:46(<listcomp>)
     6740    0.034    0.000    1.987    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\algorithm_platform_json_to_aidm_converter.py:33(convert_json_to_algorithm_train_path_node)
8415/1886    0.037    0.000    1.986    0.001 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\algorithm_platform_json_to_aidm_converter.py:9(convert)
   199586    0.219    0.000    1.975    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\locale.py:577(getlocale)
      106    0.000    0.000    1.856    0.018 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\algorithm_platform_json_to_aidm_converter.py:23(convert_list)
      106    0.001    0.000    1.856    0.018 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\algorithm_platform_json_to_aidm_converter.py:24(<listcomp>)
   408095    0.488    0.000    1.848    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\scipy\sparse\lil.py:205(__getitem__)
        9    0.001    0.000    1.787    0.199 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:741(apply_operator_to_timetable)
    15978    0.027    0.000    1.715    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\converter_helpers.py:37(convert_keys_to_snake_case)
    15978    0.058    0.000    1.648    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\converter_helpers.py:38(<listcomp>)
 15008567    1.647    0.000    1.647    0.000 {built-in method builtins.id}
   158732    0.091    0.000    1.589    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\converter_helpers.py:32(_translate_key)
        1    0.031    0.031    1.427    1.427 C:\Users\benoi\Documents\master_thesis_code\viriato_interface.py:583(cut_trains_area_of_interest)
   165784    0.981    0.000    1.408    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\converter_helpers.py:24(convert_to_snake_case)
 11680469    1.390    0.000    1.390    0.000 {method 'append' of 'list' objects}
  1525589    0.898    0.000    1.298    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\copy.py:242(_keep_alive)
        6    0.223    0.037    1.278    0.213 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:1146(add_edges_of_train_from_o_stations_d)
       10    0.000    0.000    1.262    0.126 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:84(__init__)
       10    0.020    0.002    1.262    0.126 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:99(used_tracks_all_trains)
   408095    0.376    0.000    1.259    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\scipy\sparse\lil.py:299(_set_intXint)
     3604    0.880    0.000    1.202    0.000 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:135(used_tracks_single_train)
   408095    0.509    0.000    1.194    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\scipy\sparse\lil.py:225(_get_intXint)
       41    0.301    0.007    1.172    0.029 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\networkx\classes\function.py:719(set_edge_attributes)
  6470455    1.078    0.000    1.078    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\networkx\classes\reportviews.py:176(__init__)
   199586    1.033    0.000    1.033    0.000 {built-in method _locale.setlocale}
      996    0.010    0.000    0.971    0.001 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\sessions.py:690(merge_environment_settings)
        3    0.001    0.000    0.963    0.321 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:215(operator_complete_delay)
   942895    0.714    0.000    0.942    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\networkx\classes\reportviews.py:715(<genexpr>)
      996    0.003    0.000    0.935    0.001 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:755(get_environ_proxies)
  8561557    0.883    0.000    0.883    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\copy.py:182(_deepcopy_atomic)
       15    0.002    0.000    0.875    0.058 C:\Users\benoi\Documents\master_thesis_code\viriato_interface.py:312(reroute_train)
      996    0.018    0.000    0.873    0.001 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\sessions.py:426(prepare_request)
       10    0.000    0.000    0.792    0.079 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:1309(create_graph_with_edges_o_stations_d)
   408095    0.776    0.000    0.776    0.000 {built-in method scipy.sparse._csparsetools.lil_insert}
     1992    0.120    0.000    0.751    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\request.py:2482(getproxies_environment)
        3    0.001    0.000    0.750    0.250 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:321(operator_part_delay)
   199586    0.194    0.000    0.723    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\locale.py:469(_parse_localename)
   235148    0.158    0.000    0.649    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:764(__iter__)
       12    0.000    0.000    0.592    0.049 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:1231(pickle_results)
  4227100    0.550    0.000    0.580    0.000 {built-in method builtins.isinstance}
   408095    0.574    0.000    0.574    0.000 {built-in method scipy.sparse._csparsetools.lil_get1}
   235027    0.570    0.000    0.570    0.000 {method 'match' of 're.Pattern' objects}
       12    0.537    0.045    0.566    0.047 {built-in method _pickle.dump}
       10    0.559    0.056    0.562    0.056 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\scipy\sparse\lil.py:85(__init__)
       36    0.176    0.005    0.530    0.015 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\networkx\classes\function.py:605(set_node_attributes)
   199586    0.386    0.000    0.528    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\locale.py:386(normalize)
      996    0.009    0.000    0.528    0.001 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:694(should_bypass_proxies)
  2119492    0.524    0.000    0.524    0.000 {method 'update' of 'dict' objects}
      996    0.009    0.000    0.477    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:86(proxy_bypass)
        1    0.058    0.058    0.448    0.448 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:1419(create_timetable_with_waiting_transfer_edges)
      996    0.009    0.000    0.430    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:307(prepare)
   221112    0.181    0.000    0.421    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\os.py:674(__getitem__)
