# zone, xcoord, ycoord
901,628254.078389745,190539.712075081
902,628239.922188361,200606.948965657
903,623541.825402238,201147.858632595
904,624219.409291036,187978.748460394
905,621607.306973222,203261.707696538
906,633947.959759064,184540.67066435
907,622865.488215971,196086.439064927
908,634463.981498989,201409.563176785
909,630340.849390332,195340.861041809
921,611248.563422377,174917.41074415
922,604344.00494313,175216.557373071
923,619198.883391158,185411.27890606
924,628491.916259704,181916.627447667
925,616482.206563054,183100.331759321
926,606504.726453011,179344.194761029
927,618616.930622436,177899.824908008
928,612591.758056909,182456.262271146
929,616785.636772109,176909.000489859
930,609789.660711414,174598.898707813
931,618682.132219556,180612.617181527
932,626255.019561446,180466.407279735
933,607624.429476405,178535.530954241
934,618267.031984359,175867.221338267
935,623145.198573324,183362.759456873
936,606447.421392546,173840.289597262
937,616971.827274238,179881.782706917
938,623629.683908328,176055.901334686
939,614820.91245881,181160.767365269
940,620931.526643405,179437.92560885
941,610206.563665238,177777.594944301
943,608302.68003781,176479.180816751
944,610383.653270148,180430.574178981
945,620050.421854591,183154.070889938
946,622779.218369861,185482.135583338
947,613489.617857159,173178.075171506
951,622454.162105071,213101.463527096
952,625846.945613006,214456.220548348
953,631825.93530288,213502.248462624
954,630947.991807328,217496.108307236
955,619726.331097456,205975.737251193
956,619177.852152874,209699.272112704
957,628584.203954141,209047.234034495
958,626063.66453928,206544.55289457
959,625158.592337149,217077.573933085
960,629071.737643541,213729.912789217
971,613025.948812861,233608.463669604
972,620214.834218735,230552.982541044
973,620789.736314197,224851.322035958
974,620175.747417038,223911.236624007
975,612997.570544509,235524.62468709
976,621348.87624915,229744.346107063
977,619564.886847997,229228.192827468
978,619808.016962315,222790.904870018
979,620850.415030371,227115.497403301
980,617264.714727407,228082.653927595
981,620064.315903634,235066.528682868
982,618593.320680061,226151.864496505
983,618086.542161769,233707.085989734
984,618960.539229476,224805.91791177
985,622223.013498283,221700.184645992
986,618537.018121455,228448.410387677
987,614830.810649014,235664.262544854
988,618538.170700076,221271.782883979
989,622128.061431564,224677.993219672
990,619434.428000281,231726.143268248
991,618544.043656275,230712.451994696
992,616019.196078013,231152.392040176
993,616694.793465397,229666.638949109
994,619170.183994512,227593.484907412
995,616127.015836726,232773.278375724
996,616640.485873528,236269.973908895
1001,646549.228206826,206942.615935572
1002,650918.390525308,203004.301934771
1003,638210.53522008,195806.529026717
1004,643588.788903521,188778.651199206
1005,648545.868249796,200122.867520892
1006,635831.753781715,189478.288826031
1007,642239.23475825,206061.365989566
1008,643608.702214458,199712.3890076
1009,650846.486595359,209765.614071769
1021,660740.659451338,234374.814233709
1022,661611.883811706,232497.133022035
1023,668150.251664209,222117.299845787
1024,664359.741599704,215410.021053783
1025,660270.541204189,230805.662080768
1026,666278.818504403,219750.080758945
1027,663407.095454916,229102.944591082
1028,663707.00394083,232595.214258164
1029,660057.483984755,227653.385376057
1030,662038.08992744,230550.277983635
1031,664700.780621588,223894.42719838
1032,666533.928195578,226126.592143771
1033,670548.616216941,220173.05199064
1034,665691.088459289,229394.661823321
1035,659691.069398109,232627.810614134
1036,665046.636063228,232466.22641506
1037,662556.536984195,220398.295401789
1038,661062.783440378,227756.427739474
1039,662137.772977954,224287.49965936
1040,662614.262081958,217410.604161185
1041,662951.375412574,235511.959015887
1042,664800.228024835,230560.880651078
1051,670621.612426317,213899.29498246
1052,669027.692718985,217153.916255418
1053,670911.802632509,216332.400148638
1054,667811.726384479,214527.639927635
1055,673217.478562039,219837.757103808
1056,676096.535445953,211981.063168804
1057,673639.791476099,220651.830533037
1058,666303.535706971,207293.539116642
1059,662357.663238454,208070.953229023
1060,661752.467945807,212499.646986626
1062,657110.008065505,210474.484895181
