((498, '2005-05-10T06:26:18', 1078384, 'a'), (498, '2005-05-10T06:28:18', 1078384, 'd'))
((498, '2005-05-10T06:26:18', 1078384, 'a'), (498, '2005-05-10T06:37:00', 1612788, 'd'))
((498, '2005-05-10T06:26:18', 1078384, 'a'), (498, '2005-05-10T06:40:00', 2764037, 'd'))
((498, '2005-05-10T06:26:18', 1078384, 'a'), (498, '2005-05-10T06:35:00', 10326783, 'd'))
((498, '2005-05-10T06:26:18', 1078384, 'a'), (498, '2005-05-10T06:38:00', 3847520, 'd'))
((498, '2005-05-10T06:26:18', 1078384, 'a'), (498, '2005-05-10T06:41:06', 7607999, 'd'))
((498, '2005-05-10T06:26:18', 1078384, 'a'), (498, '2005-05-10T06:36:00', 12244038, 'd'))
((587, '2005-05-10T06:39:48', 1081296, 'a'), (587, '2005-05-10T06:41:48', 1081296, 'd'))
((587, '2005-05-10T06:39:48', 1081296, 'a'), (587, '2005-05-10T06:52:00', 856342, 'd'))
((587, '2005-05-10T06:39:48', 1081296, 'a'), (587, '2005-05-10T06:52:42', 11963758, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (633, '2005-05-10T07:04:18', 1083116, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (633, '2005-05-10T06:58:00', 2159178, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (633, '2005-05-10T07:00:00', 2953318, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (633, '2005-05-10T07:06:00', 8124073, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (633, '2005-05-10T07:08:00', 10331879, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (633, '2005-05-10T07:08:00', 3490583, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (633, '2005-05-10T07:02:00', 11290722, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (606, '2005-05-10T07:03:42', 5127344, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (606, '2005-05-10T06:58:30', 7063517, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (606, '2005-05-10T06:58:12', 9806263, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (606, '2005-05-10T07:02:30', 1858514, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (606, '2005-05-10T07:07:00', 6243424, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (606, '2005-05-10T07:00:12', 6635817, 'd'))
((633, '2005-05-10T06:53:18', 1083116, 'a'), (13, '2005-05-10T06:58:00', 7245517, 'd'))
((498, '2005-05-10T07:26:18', 1088212, 'a'), (498, '2005-05-10T07:28:18', 1088212, 'd'))
((498, '2005-05-10T07:26:18', 1088212, 'a'), (498, '2005-05-10T07:37:00', 1623344, 'd'))
((498, '2005-05-10T07:26:18', 1088212, 'a'), (498, '2005-05-10T07:40:00', 2773502, 'd'))
((498, '2005-05-10T07:26:18', 1088212, 'a'), (498, '2005-05-10T07:41:06', 7640333, 'd'))
((498, '2005-05-10T07:26:18', 1088212, 'a'), (498, '2005-05-10T07:35:00', 10336611, 'd'))
((498, '2005-05-10T07:26:18', 1088212, 'a'), (498, '2005-05-10T07:36:00', 12247678, 'd'))
((498, '2005-05-10T07:26:18', 1088212, 'a'), (498, '2005-05-10T07:38:00', 3921048, 'd'))
((587, '2005-05-10T07:39:48', 1091124, 'a'), (587, '2005-05-10T07:41:48', 1091124, 'd'))
((587, '2005-05-10T07:39:48', 1091124, 'a'), (587, '2005-05-10T07:52:00', 866898, 'd'))
((587, '2005-05-10T07:39:48', 1091124, 'a'), (587, '2005-05-10T07:50:00', 11800686, 'd'))
((587, '2005-05-10T07:39:48', 1091124, 'a'), (587, '2005-05-10T07:52:42', 11974678, 'd'))
((633, '2005-05-10T07:53:18', 1092944, 'a'), (606, '2005-05-10T07:58:30', 7073709, 'd'))
((633, '2005-05-10T07:53:18', 1092944, 'a'), (606, '2005-05-10T07:58:12', 9820823, 'd'))
((633, '2005-05-10T07:53:18', 1092944, 'a'), (13, '2005-05-10T07:58:00', 7250249, 'd'))
((587, '2005-05-10T06:09:18', 1248372, 'a'), (587, '2005-05-10T06:11:18', 1248372, 'd'))
((587, '2005-05-10T06:09:18', 1248372, 'a'), (587, '2005-05-10T06:22:00', 1609876, 'd'))
((587, '2005-05-10T06:09:18', 1248372, 'a'), (587, '2005-05-10T06:20:00', 10323871, 'd'))
((587, '2005-05-10T06:09:18', 1248372, 'a'), (587, '2005-05-10T06:20:36', 5577304, 'd'))
((633, '2005-05-10T06:23:00', 1250192, 'a'), (633, '2005-05-10T06:32:00', 1250192, 'd'))
((633, '2005-05-10T06:23:00', 1250192, 'a'), (633, '2005-05-10T06:36:00', 3640040, 'd'))
((633, '2005-05-10T06:23:00', 1250192, 'a'), (633, '2005-05-10T06:37:00', 2432797, 'd'))
((633, '2005-05-10T06:23:00', 1250192, 'a'), (633, '2005-05-10T06:32:00', 11285990, 'd'))
((633, '2005-05-10T06:23:00', 1250192, 'a'), (633, '2005-05-10T06:34:12', 12917074, 'd'))
((633, '2005-05-10T06:23:00', 1250192, 'a'), (606, '2005-05-10T06:33:42', 5120064, 'd'))
((633, '2005-05-10T06:23:00', 1250192, 'a'), (606, '2005-05-10T06:28:30', 7058421, 'd'))
((633, '2005-05-10T06:23:00', 1250192, 'a'), (606, '2005-05-10T06:28:12', 9798983, 'd'))
((633, '2005-05-10T06:23:00', 1250192, 'a'), (606, '2005-05-10T06:30:12', 617550, 'd'))
((633, '2005-05-10T06:23:00', 1250192, 'a'), (606, '2005-05-10T06:32:00', 8592177, 'd'))
((633, '2005-05-10T06:23:00', 1250192, 'a'), (606, '2005-05-10T06:37:06', 11424310, 'd'))
((308, '2005-05-10T06:43:48', 1253832, 'a'), (308, '2005-05-10T06:50:18', 727843, 'd'))
((308, '2005-05-10T06:43:48', 1253832, 'a'), (308, '2005-05-10T06:47:54', 10328239, 'd'))
((308, '2005-05-10T06:43:48', 1253832, 'a'), (308, '2005-05-10T06:50:18', 10945649, 'd'))
((498, '2005-05-10T06:56:24', 1255288, 'a'), (498, '2005-05-10T06:58:24', 1255288, 'd'))
((498, '2005-05-10T06:56:24', 1255288, 'a'), (498, '2005-05-10T07:07:00', 859254, 'd'))
((498, '2005-05-10T06:56:24', 1255288, 'a'), (498, '2005-05-10T07:11:00', 9645011, 'd'))
((498, '2005-05-10T06:56:24', 1255288, 'a'), (498, '2005-05-10T07:06:00', 1793695, 'd'))
((498, '2005-05-10T06:56:24', 1255288, 'a'), (498, '2005-05-10T07:08:00', 3884284, 'd'))
((498, '2005-05-10T06:56:24', 1255288, 'a'), (498, '2005-05-10T07:11:06', 7629110, 'd'))
((587, '2005-05-10T07:09:18', 1258200, 'a'), (587, '2005-05-10T07:11:18', 1258200, 'd'))
((587, '2005-05-10T07:09:18', 1258200, 'a'), (587, '2005-05-10T07:22:00', 1620432, 'd'))
((587, '2005-05-10T07:09:18', 1258200, 'a'), (587, '2005-05-10T07:20:00', 10333699, 'd'))
((587, '2005-05-10T07:09:18', 1258200, 'a'), (587, '2005-05-10T07:20:36', 5590772, 'd'))
((633, '2005-05-10T07:23:00', 1260020, 'a'), (633, '2005-05-10T07:32:00', 1260020, 'd'))
((633, '2005-05-10T07:23:00', 1260020, 'a'), (633, '2005-05-10T07:36:00', 3644772, 'd'))
((633, '2005-05-10T07:23:00', 1260020, 'a'), (633, '2005-05-10T07:30:00', 11633610, 'd'))
((633, '2005-05-10T07:23:00', 1260020, 'a'), (633, '2005-05-10T07:37:00', 2450997, 'd'))
((633, '2005-05-10T07:23:00', 1260020, 'a'), (633, '2005-05-10T07:32:00', 11295454, 'd'))
((633, '2005-05-10T07:23:00', 1260020, 'a'), (633, '2005-05-10T07:34:12', 12935274, 'd'))
((633, '2005-05-10T07:23:00', 1260020, 'a'), (606, '2005-05-10T07:33:42', 5134624, 'd'))
((633, '2005-05-10T07:23:00', 1260020, 'a'), (606, '2005-05-10T07:28:30', 7068613, 'd'))
