type,node,,,
arrivalNode,(439, '2005-05-10T06:43:24',7060605, 'a')
arrivalNode,(328, '2005-05-10T06:46:24',7060969, 'a')
arrivalNode,(494, '2005-05-10T06:49:48',7061333, 'a')
arrivalNode,(563, '2005-05-10T06:46:48',7062425, 'a')
arrivalNode,(592, '2005-05-10T06:51:12',7062789, 'a')
arrivalNode,(606, '2005-05-10T06:56:00',7063517, 'a')
arrivalNode,(623, '2005-05-10T07:01:00',7063881, 'a')
arrivalNode,(462, '2005-05-10T07:06:06',7064245, 'a')
arrivalNode,(203, '2005-05-10T07:10:00',7065337, 'a')
arrivalNode,(439, '2005-05-10T07:13:24',7065701, 'a')
arrivalNode,(328, '2005-05-10T07:16:24',7066065, 'a')
arrivalNode,(494, '2005-05-10T07:19:48',7066429, 'a')
arrivalNode,(563, '2005-05-10T07:16:48',7067521, 'a')
arrivalNode,(592, '2005-05-10T07:21:12',7067885, 'a')
arrivalNode,(606, '2005-05-10T07:26:00',7068613, 'a')
arrivalNode,(623, '2005-05-10T07:31:00',7068977, 'a')
arrivalNode,(462, '2005-05-10T07:36:06',7069341, 'a')
arrivalNode,(203, '2005-05-10T07:40:00',7070433, 'a')
arrivalNode,(439, '2005-05-10T07:43:24',7070797, 'a')
arrivalNode,(328, '2005-05-10T07:46:24',7071161, 'a')
arrivalNode,(494, '2005-05-10T07:49:48',7071525, 'a')
arrivalNode,(563, '2005-05-10T07:46:48',7072617, 'a')
arrivalNode,(592, '2005-05-10T07:51:12',7072981, 'a')
arrivalNode,(606, '2005-05-10T07:56:00',7073709, 'a')
arrivalNode,(623, '2005-05-10T08:01:00',7074073, 'a')
arrivalNode,(12, '2005-05-10T07:58:30',7250613, 'a')
arrivalNode,(8, '2005-05-10T08:00:30',7250977, 'a')
arrivalNode,(520, '2005-05-10T06:44:06',7414413, 'a')
arrivalNode,(386, '2005-05-10T06:48:36',7414777, 'a')
arrivalNode,(520, '2005-05-10T07:44:06',7415869, 'a')
arrivalNode,(386, '2005-05-10T07:48:36',7416233, 'a')
arrivalNode,(633, '2005-05-10T07:54:00',7444261, 'a')
arrivalNode,(220, '2005-05-10T06:08:00',7502865, 'a')
