from,to,between,from-to,to-between
85ZUE,85ZUE,85ZUE,1,1
85ZWIE,85ZWIE,85ZWIE,1,1
85ZKOL,85ZKOL,85ZKOL,1,1
112,112,112,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZLST,85ZLST,85ZLST,1,1
113,113,113,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZLST,85ZLST,85ZLST,1,1
114,114,114,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZLST,85ZLST,85ZLST,1,1
115,115,115,1,1
85DT,85DT,85DT,1,1
85SCHL,85SCHL,85SCHL,1,1
116,116,116,1,1
85ZVB,85ZVB,85ZVB,1,1
85ZUE,85ZUE,85ZUE,1,1
117,117,117,1,1
85NG,85NG,85NG,1,1
85NIE,85NIE,85NIE,1,1
85RUEM,85RUEM,85RUEM,1,1
118,118,118,1,1
85NAEN,85NAEN,85NAEN,1,1
85AAT,85AAT,85AAT,1,1
119,119,119,1,1
85UST,85UST,85UST,1,1
85WZ,85WZ,85WZ,1,1
120,120,120,1,1
85WZ,85WZ,85WZ,1,1
85RUE,85RUE,85RUE,1,1
121,121,121,1,1
85WZ,85WZ,85WZ,1,1
122,122,122,1,1
85EMB,85EMB,85EMB,1,1
85WWUE,85WWUE,85WWUE,1,1
123,123,123,1,1
85WGR,85WGR,85WGR,1,1
124,124,124,1,1
85WGR,85WGR,85WGR,1,1
85SKY,85SKY,85SKY,1,1
125,125,125,1,1
85WKM,85WKM,85WKM,1,1
85HET,85HET,85HET,1,1
126,126,126,1,1
85OWT,85OWT,85OWT,1,1
85REUT,85REUT,85REUT,1,1
127,127,127,1,1
85OWT,85OWT,85OWT,1,1
128,128,128,1,1
85OF,85OF,85OF,1,1
85BUD,85BUD,85BUD,1,1
129,129,129,1,1
85ZSTW2,85ZSTW2,85ZSTW2,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZWIE,85ZWIE,85ZWIE,1,1
85ZKOL,85ZKOL,85ZKOL,1,1
130,130,130,1,1
85ZAU,85ZAU,85ZAU,1,1
85ZEN,85ZEN,85ZEN,1,1
131,131,131,1,1
85ZAU,85ZAU,85ZAU,1,1
85NIDB,85NIDB,85NIDB,1,1
132,132,132,1,1
85DT,85DT,85DT,1,1
85SCHL,85SCHL,85SCHL,1,1
133,133,133,1,1
85KLW,85KLW,85KLW,1,1
85GLZB,85GLZB,85GLZB,1,1
134,134,134,1,1
85BUE,85BUE,85BUE,1,1
85OGL,85OGL,85OGL,1,1
135,135,135,1,1
85DI,85DI,85DI,1,1
85OGL,85OGL,85OGL,1,1
136,136,136,1,1
85KGO,85KGO,85KGO,1,1
85ERLB,85ERLB,85ERLB,1,1
137,137,137,1,1
85UST,85UST,85UST,1,1
85WZ,85WZ,85WZ,1,1
138,138,138,1,1
85OF,85OF,85OF,1,1
85BUD,85BUD,85BUD,1,1
139,139,139,1,1
85ZAU,85ZAU,85ZAU,1,1
85ZEN,85ZEN,85ZEN,1,1
140,140,140,1,1
85ZAU,85ZAU,85ZAU,1,1
85NIDB,85NIDB,85NIDB,1,1
141,141,141,1,1
85KLW,85KLW,85KLW,1,1
85GLZB,85GLZB,85GLZB,1,1
142,142,142,1,1
85BUE,85BUE,85BUE,1,1
85OGL,85OGL,85OGL,1,1
143,143,143,1,1
85DI,85DI,85DI,1,1
85OGL,85OGL,85OGL,1,1
144,144,144,1,1
85UST,85UST,85UST,1,1
85WZ,85WZ,85WZ,1,1
145,145,145,1,1
85BUB,85BUB,85BUB,1,1
85RUEKM,85RUEKM,85RUEKM,1,1
85JO,85JO,85JO,1,1
146,146,146,1,1
85BUE,85BUE,85BUE,1,1
85PFU,85PFU,85PFU,1,1
147,147,147,1,1
85WSEE,85WSEE,85WSEE,1,1
85KOL,85KOL,85KOL,1,1
148,148,148,1,1
85LANT,85LANT,85LANT,1,1
85HGT,85HGT,85HGT,1,1
149,149,149,1,1
85WWAL,85WWAL,85WWAL,1,1
85SEU,85SEU,85SEU,1,1
150,150,150,1,1
85WUER,85WUER,85WUER,1,1
85OFR,85OFR,85OFR,1,1
151,151,151,1,1
85ZAU,85ZAU,85ZAU,1,1
85ZEN,85ZEN,85ZEN,1,1
152,152,152,1,1
85ZAU,85ZAU,85ZAU,1,1
85NIDB,85NIDB,85NIDB,1,1
153,153,153,1,1
85ZWIE,85ZWIE,85ZWIE,1,1
85ZWOL,85ZWOL,85ZWOL,1,1
154,154,154,1,1
85ZKOL,85ZKOL,85ZKOL,1,1
85TWNO,85TWNO,85TWNO,1,1
155,155,155,1,1
85KLW,85KLW,85KLW,1,1
85GLZB,85GLZB,85GLZB,1,1
156,156,156,1,1
85LANG,85LANG,85LANG,1,1
85NHOF,85NHOF,85NHOF,1,1
85DT,85DT,85DT,1,1
157,157,157,1,1
85GF,85GF,85GF,1,1
85EMB,85EMB,85EMB,1,1
85NG,85NG,85NG,1,1
158,158,158,1,1
85STMR,85STMR,85STMR,1,1
85NIE,85NIE,85NIE,1,1
159,159,159,1,1
85KUES,85KUES,85KUES,1,1
85WIN,85WIN,85WIN,1,1
160,160,160,1,1
85WUER,85WUER,85WUER,1,1
85OFR,85OFR,85OFR,1,1
161,161,161,1,1
85ZWIE,85ZWIE,85ZWIE,1,1
85ZWOL,85ZWOL,85ZWOL,1,1
162,162,162,1,1
85ZKOL,85ZKOL,85ZKOL,1,1
85TWNO,85TWNO,85TWNO,1,1
163,163,163,1,1
85LANG,85LANG,85LANG,1,1
85NHOF,85NHOF,85NHOF,1,1
85DT,85DT,85DT,1,1
164,164,164,1,1
85GF,85GF,85GF,1,1
85EMB,85EMB,85EMB,1,1
85NG,85NG,85NG,1,1
165,165,165,1,1
85STMR,85STMR,85STMR,1,1
85NIE,85NIE,85NIE,1,1
166,166,166,1,1
85TD,85TD,85TD,1,1
85RUE,85RUE,85RUE,1,1
167,167,167,1,1
85RUE,85RUE,85RUE,1,1
85RW,85RW,85RW,1,1
168,168,168,1,1
85GF,85GF,85GF,1,1
85EMB,85EMB,85EMB,1,1
85NG,85NG,85NG,1,1
169,169,169,1,1
85SKY,85SKY,85SKY,1,1
85RN,85RN,85RN,1,1
170,170,170,1,1
85HET,85HET,85HET,1,1
85AN,85AN,85AN,1,1
171,171,171,1,1
85REUT,85REUT,85REUT,1,1
172,172,172,1,1
85WE,85WE,85WE,1,1
85OF,85OF,85OF,1,1
173,173,173,1,1
85ZWIE,85ZWIE,85ZWIE,1,1
85ZWOL,85ZWOL,85ZWOL,1,1
174,174,174,1,1
85ZKOL,85ZKOL,85ZKOL,1,1
85TWNO,85TWNO,85TWNO,1,1
175,175,175,1,1
85ZEN,85ZEN,85ZEN,1,1
85KIL,85KIL,85KIL,1,1
176,176,176,1,1
85RUES,85RUES,85RUES,1,1
85NIDB,85NIDB,85NIDB,1,1
85TW,85TW,85TW,1,1
177,177,177,1,1
85LANG,85LANG,85LANG,1,1
85NHOF,85NHOF,85NHOF,1,1
85DT,85DT,85DT,1,1
178,178,178,1,1
85KLW,85KLW,85KLW,1,1
179,179,179,1,1
85WE,85WE,85WE,1,1
85KLW,85KLW,85KLW,1,1
180,180,180,1,1
85EGL,85EGL,85EGL,1,1
85BUE,85BUE,85BUE,1,1
181,181,181,1,1
85SCHO,85SCHO,85SCHO,1,1
85DI,85DI,85DI,1,1
182,182,182,1,1
85ERLB,85ERLB,85ERLB,1,1
85HERL,85HERL,85HERL,1,1
183,183,183,1,1
85WE,85WE,85WE,1,1
85OF,85OF,85OF,1,1
184,184,184,1,1
85ZEN,85ZEN,85ZEN,1,1
85KIL,85KIL,85KIL,1,1
185,185,185,1,1
85RUES,85RUES,85RUES,1,1
85NIDB,85NIDB,85NIDB,1,1
85TW,85TW,85TW,1,1
186,186,186,1,1
85KLW,85KLW,85KLW,1,1
187,187,187,1,1
85WE,85WE,85WE,1,1
85KLW,85KLW,85KLW,1,1
188,188,188,1,1
85EGL,85EGL,85EGL,1,1
85BUE,85BUE,85BUE,1,1
189,189,189,1,1
85SCHO,85SCHO,85SCHO,1,1
85DI,85DI,85DI,1,1
190,190,190,1,1
85WL,85WL,85WL,1,1
85RUEKM,85RUEKM,85RUEKM,1,1
191,191,191,1,1
85KPT,85KPT,85KPT,1,1
85JO,85JO,85JO,1,1
85HUR,85HUR,85HUR,1,1
192,192,192,1,1
85EGL,85EGL,85EGL,1,1
85BUE,85BUE,85BUE,1,1
193,193,193,1,1
85KOL,85KOL,85KOL,1,1
85RMZ,85RMZ,85RMZ,1,1
194,194,194,1,1
85HGT,85HGT,85HGT,1,1
85MEDE,85MEDE,85MEDE,1,1
195,195,195,1,1
85NHOF,85NHOF,85NHOF,1,1
85WUER,85WUER,85WUER,1,1
196,196,196,1,1
85ZEN,85ZEN,85ZEN,1,1
85KIL,85KIL,85KIL,1,1
197,197,197,1,1
85RUES,85RUES,85RUES,1,1
85NIDB,85NIDB,85NIDB,1,1
85TW,85TW,85TW,1,1
198,198,198,1,1
85ZWOL,85ZWOL,85ZWOL,1,1
85RUES,85RUES,85RUES,1,1
199,199,199,1,1
85KIL,85KIL,85KIL,1,1
85TWNO,85TWNO,85TWNO,1,1
200,200,200,1,1
85TWNO,85TWNO,85TWNO,1,1
85ORDD,85ORDD,85ORDD,1,1
85ORD,85ORD,85ORD,1,1
201,201,201,1,1
85KLW,85KLW,85KLW,1,1
202,202,202,1,1
85WE,85WE,85WE,1,1
85KLW,85KLW,85KLW,1,1
203,203,203,1,1
85NHOF,85NHOF,85NHOF,1,1
85WUER,85WUER,85WUER,1,1
204,204,204,1,1
85HUEW,85HUEW,85HUEW,1,1
85GF,85GF,85GF,1,1
205,205,205,1,1
85NWD,85NWD,85NWD,1,1
85STMR,85STMR,85STMR,1,1
206,206,206,1,1
85WIN,85WIN,85WIN,1,1
85ML,85ML,85ML,1,1
207,207,207,1,1
85NHOF,85NHOF,85NHOF,1,1
85WUER,85WUER,85WUER,1,1
208,208,208,1,1
85ZWOL,85ZWOL,85ZWOL,1,1
85RUES,85RUES,85RUES,1,1
209,209,209,1,1
