# fromZone, toZone, distance
2,87,42688.000000
2,88,44234.010000
2,89,38986.010000
2,90,37625.022000
2,91,47522.035000
2,92,36543.802000
2,93,45042.669000
2,94,42775.000000
2,95,42709.632000
2,96,35745.000000
2,97,33935.000000
2,98,47047.911000
2,99,45042.666000
2,100,48426.203000
2,101,42180.661000
2,102,56260.622000
2,111,59943.888000
2,112,58226.000000
2,113,62602.474000
2,115,56395.255000
2,116,58256.918000
2,117,58006.868000
2,119,51058.075000
2,121,52373.000000
2,131,33707.005000
2,133,33774.767000
2,135,26538.884000
2,136,27478.018000
2,137,30553.144000
2,139,28347.082000
2,141,34166.159000
2,151,35125.500000
2,152,38272.500000
2,153,63628.433000
2,154,33390.500000
2,156,41115.500000
2,157,57501.397000
2,160,35872.000000
2,161,31188.500000
2,171,74589.869000
2,172,50358.025000
2,173,57636.246000
2,174,42158.249000
2,175,62399.247000
2,176,50625.514000
2,177,56497.804000
2,178,55358.193000
2,180,55637.702000
2,181,77295.435000
2,182,61165.872000
2,191,33473.799000
2,192,44930.622000
2,193,35964.395000
2,194,44757.586000
2,195,37029.823000
2,196,54687.021000
2,197,39850.734000
2,198,45545.000000
2,199,42632.364000
2,200,35309.512000
2,211,67614.433000
2,212,64130.739000
2,213,52700.456000
2,214,64374.571000
2,215,64157.443000
2,216,62990.366000
2,217,64510.795000
2,218,64076.981000
2,219,58821.084000
2,220,76982.020000
2,221,60943.118000
2,222,69962.728000
2,223,59494.866000
2,224,53852.882000
2,225,63863.094000
2,226,68132.744000
2,227,59456.068000
2,228,73885.486000
2,229,57888.628000
2,231,70987.456000
2,241,15151.838000
2,242,12116.000000
2,243,27512.000000
2,244,28513.038000
2,245,23328.500000
2,246,30700.000000
2,247,23942.000000
2,248,16518.329000
2,249,24532.500000
2,250,14926.000000
2,251,25980.500000
2,2933,60908.445000
2,2938,63045.249000
2,4021,40375.376000
2,4022,25762.428000
2,4023,29415.000000
2,4024,45220.533000
2,4026,41254.848000
2,4027,42496.533000
2,4028,48618.294000
2,4029,46501.535000
2,4030,32484.000000
2,4031,28407.155000
2,4033,38495.247000
2,4034,35258.296000
2,4035,42133.548000
2,4036,46952.940000
2,4037,40685.077000
2,4038,42898.025000
2,4039,28865.702000
2,4040,33910.000000
2,4041,36562.481000
2,4042,43859.870000
2,4043,48111.699000
2,4044,45683.375000
2,4045,39180.581000
2,4046,41327.400000
2,4048,45580.386000
2,4061,15771.542000
2,4062,19789.000000
2,4066,25762.236000
2,4067,31285.304000
2,4072,33553.185000
2,4074,17001.000000
2,4075,30869.928000
2,4077,38291.704000
2,4081,21939.368000
2,4083,21861.720000
2,4084,9632.000000
2,4093,54511.878000
2,4107,53656.549000
2,4123,50183.479000
2,4301,74902.800000
