# zone,x,y, distanceToStation
4033,663048.039185,252590.716832,5162.988010
4034,666865.146462,255188.277032,864.159850
4035,665099.415877,252501.639953,3402.558800
4036,668100.547863,260245.518339,3176.232440
4037,666541.603232,253075.706407,1942.505370
4038,664334.908498,260805.805989,4301.497120
4039,667422.730810,251216.326589,3250.006330
4040,670085.509295,252313.357462,1982.526150
4041,665407.842275,250408.915507,4778.414610
4042,661825.963936,259994.304300,5317.226180
4043,668839.926518,261450.615870,1788.292540
4044,661615.254697,262095.612791,6893.745870
4045,668048.850843,257726.186490,1944.445910
4046,661518.831417,252090.317750,6688.016130
4048,669769.852377,255576.061032,486.143190
4061,674369.232225,241144.304837,7613.543120
4062,671407.296443,245208.085340,5635.666560
4066,667966.960287,247145.335878,6292.136220
4067,665899.112681,246841.537952,7845.503900
4072,664467.515288,248079.114113,7272.509760
4074,672293.692735,243358.724389,6680.957530
4075,671462.728413,246821.194098,4333.216960
4077,663448.560640,250256.409811,6120.597390
4081,669446.991145,246985.922259,5321.349160
4083,669491.115225,244162.302226,7642.942270
4084,675789.376426,241869.743835,6058.469480
4093,660629.476099,254234.082246,6140.424950
4107,660318.018649,256044.829764,5902.202570
4123,659059.581576,258640.622926,7305.192820
4301,665858.828230,267482.566415,6421.784700
4302,667694.855830,267021.584472,4971.393450
4305,664116.640302,264790.309776,6371.203100
4306,672712.903704,267960.035900,5870.314240
4308,673774.689216,269013.307416,7299.725000
4312,666687.371765,264191.656805,3757.600190
4314,668368.495699,268466.528332,6041.341830
4315,666447.823048,268854.297265,7182.549300
4317,670881.271694,268600.506934,5959.919950
4318,669517.185885,264209.559891,1640.704810
4319,671157.098432,266008.962314,3475.869490
4321,664017.496467,266501.945547,7205.630170
4322,669852.985044,267409.481344,4729.659440
4571,706545.117399,267323.380503,6382.020910
4601,700263.165652,273255.916452,7807.162710
23001,696755.908759,260133.501692,930.698960
23002,699950.037289,263528.272477,408.678110
23003,700677.022001,259372.755202,1248.973120
23004,694122.208395,262709.416615,838.966040
26101,683319.480613,247452.723025,615.138990
26102,681903.598803,243949.561858,387.380290
26103,680683.587108,245974.770507,1170.639770
26104,681613.347831,248216.494824,108.680230
26105,681636.609492,249131.570672,369.232330
26106,683613.401518,249702.154851,1265.510790
26107,686364.011046,247196.638027,2564.713460
26108,684963.937278,245545.554115,590.078850
26109,678738.637874,248425.345236,1205.061860
26110,680307.845274,251082.738850,1642.736220
26111,682178.767360,252677.503066,1285.721860
26112,685752.413208,250849.653717,1700.084030
