# fromZone, toZone, min
53,53,5.000000
53,53,5.000000
54,54,4.000000
54,52,13.605000
55,53,8.977000
55,53,8.977000
56,56,5.060000
56,224,5.431000
57,56,14.536000
57,53,18.150000
58,53,21.195000
58,53,21.195000
59,53,5.000000
59,53,5.000000
60,89,6.000000
60,53,6.000000
61,53,30.090000
61,53,30.090000
62,62,5.000000
62,62,5.000000
63,62,6.707000
63,56,7.683000
64,52,9.330000
64,176,43.010000
65,224,34.442000
65,23004,39.408000
66,66,5.000000
66,66,5.000000
67,53,16.526000
67,53,16.526000
68,56,6.831000
68,53,17.500000
69,69,2.000000
69,54,2.250000
70,53,28.998000
70,53,28.998000
71,53,26.931000
71,53,26.931000
72,62,10.008000
72,92,30.923000
81,99,21.750000
81,91,24.250000
82,94,1.750000
82,94,1.750000
83,83,2.000000
83,94,4.123000
84,83,31.250000
84,94,35.874000
85,94,39.874000
85,94,39.874000
86,86,2.000000
86,101,2.217000
87,94,42.874000
87,94,42.874000
88,101,47.217000
88,89,6.485000
89,89,5.000000
89,90,4.175000
90,90,2.000000
90,92,3.253000
91,91,2.450000
91,91,2.450000
92,92,2.180000
92,89,8.935000
93,99,2.000000
93,91,2.000000
94,94,2.000000
94,94,2.000000
95,101,14.607000
95,86,6.684000
96,96,5.000000
96,83,3.500000
97,97,3.540000
97,62,16.904000
98,91,27.718000
98,99,8.446000
99,99,2.000000
99,101,2.500000
100,53,14.451000
100,53,14.451000
101,101,2.000000
101,86,2.217000
102,53,20.500000
102,99,55.836000
111,121,18.909000
111,121,18.909000
112,121,4.250000
112,121,4.250000
113,121,15.252000
113,121,15.252000
115,121,10.074000
115,119,20.210000
116,121,14.654000
116,119,25.319000
117,121,5.626000
117,121,5.626000
119,119,2.000000
119,121,3.380000
121,121,5.000000
121,121,5.000000
131,135,31.830000
131,26102,8.000000
133,154,38.948000
133,154,38.948000
135,135,2.000000
135,26102,2.500000
136,135,29.700000
136,154,42.114000
137,154,35.835000
137,135,8.589000
139,135,1.500000
139,154,30.052000
141,154,27.627000
141,135,4.889000
151,154,2.000000
151,154,2.000000
152,154,6.623000
152,154,6.623000
153,121,20.835000
153,121,20.835000
154,154,2.000000
154,154,2.000000
156,154,10.000000
156,154,10.000000
157,121,23.181000
157,119,31.932000
160,154,36.256000
160,154,36.256000
161,161,2.000000
161,154,3.500000
171,177,20.880000
171,121,32.412000
172,172,3.000000
172,174,10.761000
173,177,11.635000
173,121,27.431000
174,174,5.740000
174,174,5.740000
175,23003,2.976000
175,231,6.176000
176,176,5.740000
176,174,8.556000
177,177,3.000000
177,172,4.000000
178,172,11.438000
178,177,9.364000
180,231,40.546000
180,231,40.546000
181,231,9.318000
181,177,35.899000
182,231,31.913000
182,231,31.913000
191,191,5.000000
191,26112,8.000000
192,198,23.165000
192,119,44.894000
193,197,5.000000
193,191,18.878000
194,198,3.020000
194,197,2.500000
195,198,36.314000
195,198,36.314000
196,119,21.899000
196,198,15.000000
197,197,2.000000
197,198,6.005000
198,198,5.000000
198,198,5.000000
199,197,7.500000
199,198,20.342000
200,54,2.000000
200,191,3.000000
211,227,35.206000
211,229,17.019000
212,229,11.697000
212,219,46.797000
213,23001,15.706000
213,176,47.734000
214,221,5.312000
214,227,52.302000
215,224,9.766000
215,56,24.568000
216,227,3.470000
216,23002,10.665000
217,219,5.550000
217,231,36.578000
218,229,11.842000
218,23002,17.366000
219,219,5.000000
219,229,19.953000
220,219,35.480000
220,229,42.404000
221,221,5.000000
221,227,36.781000
222,219,33.664000
222,231,55.931000
223,221,28.867000
223,23004,21.486000
224,224,2.000000
224,23004,3.350000
225,229,2.169000
225,23002,6.550000
226,231,50.235000
226,219,41.536000
227,227,3.010000
227,23002,7.420000
228,231,6.837000
228,231,6.837000
229,229,2.000000
229,23002,7.537000
231,231,6.000000
231,231,6.000000
241,247,27.030000
241,26102,36.538000
242,247,16.390000
242,243,21.945000
243,243,5.000000
243,243,5.000000
244,243,11.000000
244,243,11.000000
245,247,25.557000
245,26109,15.000000
246,94,54.133000
246,94,54.133000
247,247,5.000000
247,247,5.000000
248,247,26.560000
248,26109,10.278000
249,247,28.685000
249,243,21.876000
250,247,11.073000
250,243,16.550000
251,243,16.284000
251,243,16.284000
2933,53,31.115000
2933,53,31.115000
2938,53,29.055000
2938,53,29.055000
4021,4045,6.400000
4021,4034,10.639000
4022,243,33.153000
4022,4030,37.543000
4023,243,8.000000
4023,243,8.000000
4024,4045,29.249000
4024,4034,31.255000
4026,4045,12.096000
4026,4034,15.447000
4027,4045,22.843000
4027,4034,27.363000
4028,91,27.368000
4028,4045,17.760000
4029,4045,22.389000
4029,4034,24.611000
4030,4030,4.000000
4030,4034,7.257000
4031,4030,39.045000
4031,4034,43.106000
4033,4034,25.946000
4033,4045,31.671000
4034,4034,5.880000
4034,4034,5.880000
4035,4034,30.482000
4035,4034,30.482000
4036,91,8.359000
4036,91,8.359000
4037,4034,31.183000
4037,4030,27.531000
4038,4045,17.843000
4038,4034,21.095000
4039,4030,32.141000
4039,4034,34.988000
4040,4030,4.752000
4040,243,14.333000
4041,4034,41.912000
4041,4030,29.744000
4042,4045,9.534000
4042,4034,12.989000
4043,91,6.381000
4043,91,6.381000
4044,4045,21.915000
4044,4034,26.771000
4045,4034,5.617000
4045,4045,5.180000
4046,4045,36.006000
4046,4034,34.041000
4048,4048,2.000000
4048,4030,24.585000
4061,26102,40.608000
4061,26102,40.608000
4062,247,22.387000
4062,243,13.493000
4066,243,31.166000
4066,243,31.166000
4067,4030,29.415000
4067,4034,45.836000
4072,4034,42.615000
4072,4030,24.315000
4074,247,38.552000
4074,243,37.706000
4075,243,10.990000
4075,243,10.990000
4077,4034,35.194000
