# fromZone, toZone, priority, desired dep time, group_size
2,26107,1.000000,2005-05-10T06:20,1
2,26107,1.000000,2005-05-10T06:40,2
2,26107,1.000000,2005-05-10T06:50,1
2,26107,1.000000,2005-05-10T07:00,2
2,26107,1.000000,2005-05-10T07:10,2
2,26107,1.000000,2005-05-10T07:20,1
2,26107,1.000000,2005-05-10T07:30,4
2,26107,1.000000,2005-05-10T07:50,1
2,26107,1.000000,2005-05-10T08:00,1
2,26108,1.000000,2005-05-10T06:20,1
2,26108,1.000000,2005-05-10T06:30,1
2,26108,1.000000,2005-05-10T06:40,1
2,26108,1.000000,2005-05-10T07:00,1
2,26108,1.000000,2005-05-10T07:10,1
2,26108,1.000000,2005-05-10T07:20,1
2,26108,1.000000,2005-05-10T07:30,2
2,26108,1.000000,2005-05-10T07:40,1
2,26108,1.000000,2005-05-10T07:50,4
2,26109,1.000000,2005-05-10T06:10,6
2,26109,1.000000,2005-05-10T06:20,4
2,26109,1.000000,2005-05-10T06:30,3
2,26109,1.000000,2005-05-10T06:40,5
2,26109,1.000000,2005-05-10T06:50,5
2,26109,1.000000,2005-05-10T07:00,3
2,26109,1.000000,2005-05-10T07:10,6
2,26109,1.000000,2005-05-10T07:20,3
2,26109,1.000000,2005-05-10T07:30,7
2,26109,1.000000,2005-05-10T07:40,7
2,26109,1.000000,2005-05-10T07:50,7
2,26109,1.000000,2005-05-10T08:00,7
2,26110,1.000000,2005-05-10T06:20,1
2,26110,1.000000,2005-05-10T06:30,2
2,26110,1.000000,2005-05-10T06:50,1
2,26110,1.000000,2005-05-10T07:00,1
2,26110,1.000000,2005-05-10T07:10,1
2,26110,1.000000,2005-05-10T07:50,3
2,26110,1.000000,2005-05-10T08:00,2
2,26111,1.000000,2005-05-10T06:10,1
2,26111,1.000000,2005-05-10T06:20,2
2,26111,1.000000,2005-05-10T06:30,2
2,26111,1.000000,2005-05-10T06:40,2
2,26111,1.000000,2005-05-10T06:50,1
2,26111,1.000000,2005-05-10T07:00,1
2,26111,1.000000,2005-05-10T07:10,3
2,26111,1.000000,2005-05-10T07:20,1
2,26111,1.000000,2005-05-10T07:30,2
2,26111,1.000000,2005-05-10T07:40,4
2,26111,1.000000,2005-05-10T07:50,4
2,26111,1.000000,2005-05-10T08:00,2
2,26112,1.000000,2005-05-10T06:20,2
2,26112,1.000000,2005-05-10T06:40,1
2,26112,1.000000,2005-05-10T07:00,1
2,26112,1.000000,2005-05-10T07:40,1
3,1,1.000000,2005-05-10T07:20,1
3,1,1.000000,2005-05-10T07:30,1
3,2,1.000000,2005-05-10T06:10,2
3,2,1.000000,2005-05-10T06:20,1
3,2,1.000000,2005-05-10T06:30,1
3,2,1.000000,2005-05-10T06:40,1
3,2,1.000000,2005-05-10T06:50,1
3,2,1.000000,2005-05-10T07:00,1
3,2,1.000000,2005-05-10T07:20,3
3,2,1.000000,2005-05-10T07:30,3
3,2,1.000000,2005-05-10T07:40,3
3,2,1.000000,2005-05-10T07:50,3
3,2,1.000000,2005-05-10T08:00,4
3,5,1.000000,2005-05-10T06:30,1
3,5,1.000000,2005-05-10T06:50,1
3,5,1.000000,2005-05-10T07:00,1
3,5,1.000000,2005-05-10T07:10,1
3,5,1.000000,2005-05-10T07:20,1
3,5,1.000000,2005-05-10T07:40,1
3,5,1.000000,2005-05-10T07:50,2
3,13,1.000000,2005-05-10T07:10,1
3,13,1.000000,2005-05-10T07:40,2
3,13,1.000000,2005-05-10T07:50,1
3,13,1.000000,2005-05-10T08:00,1
3,14,1.000000,2005-05-10T06:30,2
3,14,1.000000,2005-05-10T06:40,1
3,14,1.000000,2005-05-10T06:50,1
3,14,1.000000,2005-05-10T07:10,1
3,14,1.000000,2005-05-10T07:20,3
3,14,1.000000,2005-05-10T07:30,3
3,14,1.000000,2005-05-10T07:40,1
3,14,1.000000,2005-05-10T07:50,1
3,14,1.000000,2005-05-10T08:00,2
3,31,1.000000,2005-05-10T07:30,1
3,51,1.000000,2005-05-10T06:20,1
3,52,1.000000,2005-05-10T06:10,1
3,52,1.000000,2005-05-10T07:30,1
3,53,1.000000,2005-05-10T06:10,1
3,54,1.000000,2005-05-10T06:10,1
3,54,1.000000,2005-05-10T06:20,1
3,54,1.000000,2005-05-10T08:00,1
3,56,1.000000,2005-05-10T06:10,1
3,56,1.000000,2005-05-10T06:50,1
3,56,1.000000,2005-05-10T07:10,1
3,62,1.000000,2005-05-10T06:30,1
3,62,1.000000,2005-05-10T07:50,3
3,66,1.000000,2005-05-10T06:30,1
3,66,1.000000,2005-05-10T07:10,1
3,66,1.000000,2005-05-10T07:40,1
3,66,1.000000,2005-05-10T07:50,1
3,67,1.000000,2005-05-10T07:10,1
3,69,1.000000,2005-05-10T06:30,1
3,69,1.000000,2005-05-10T06:40,2
3,86,1.000000,2005-05-10T07:30,1
3,91,1.000000,2005-05-10T06:10,1
3,97,1.000000,2005-05-10T07:10,1
3,97,1.000000,2005-05-10T07:40,2
3,97,1.000000,2005-05-10T07:50,1
3,115,1.000000,2005-05-10T06:10,1
3,117,1.000000,2005-05-10T06:30,1
3,117,1.000000,2005-05-10T07:10,1
3,121,1.000000,2005-05-10T06:20,1
3,131,1.000000,2005-05-10T06:10,1
3,131,1.000000,2005-05-10T07:10,1
3,133,1.000000,2005-05-10T08:00,2
3,139,1.000000,2005-05-10T07:20,1
3,139,1.000000,2005-05-10T08:00,1
3,141,1.000000,2005-05-10T07:10,1
3,141,1.000000,2005-05-10T07:50,1
3,154,1.000000,2005-05-10T07:40,1
3,156,1.000000,2005-05-10T06:50,1
3,160,1.000000,2005-05-10T07:30,1
3,161,1.000000,2005-05-10T07:30,2
3,161,1.000000,2005-05-10T08:00,1
3,174,1.000000,2005-05-10T06:10,1
3,174,1.000000,2005-05-10T06:50,1
3,176,1.000000,2005-05-10T06:10,1
3,191,1.000000,2005-05-10T06:10,1
3,191,1.000000,2005-05-10T07:00,1
3,191,1.000000,2005-05-10T07:10,1
3,191,1.000000,2005-05-10T07:40,1
3,191,1.000000,2005-05-10T07:50,1
3,194,1.000000,2005-05-10T07:00,1
3,194,1.000000,2005-05-10T07:20,1
3,195,1.000000,2005-05-10T07:20,1
3,198,1.000000,2005-05-10T06:10,1
3,198,1.000000,2005-05-10T06:20,2
3,198,1.000000,2005-05-10T06:30,1
3,198,1.000000,2005-05-10T06:40,1
3,199,1.000000,2005-05-10T06:20,2
3,199,1.000000,2005-05-10T06:40,1
3,199,1.000000,2005-05-10T07:20,1
3,199,1.000000,2005-05-10T08:00,1
3,224,1.000000,2005-05-10T07:20,1
3,241,1.000000,2005-05-10T06:30,1
3,242,1.000000,2005-05-10T06:10,1
3,242,1.000000,2005-05-10T06:50,1
3,242,1.000000,2005-05-10T07:00,1
3,242,1.000000,2005-05-10T07:20,1
3,242,1.000000,2005-05-10T07:30,1
3,243,1.000000,2005-05-10T07:10,2
3,243,1.000000,2005-05-10T07:20,2
3,243,1.000000,2005-05-10T07:40,1
3,244,1.000000,2005-05-10T07:10,1
3,247,1.000000,2005-05-10T06:20,1
3,247,1.000000,2005-05-10T07:10,1
3,247,1.000000,2005-05-10T07:40,1
3,248,1.000000,2005-05-10T06:10,1
3,248,1.000000,2005-05-10T07:10,1
3,250,1.000000,2005-05-10T07:00,1
3,250,1.000000,2005-05-10T07:10,1
3,250,1.000000,2005-05-10T07:30,1
3,250,1.000000,2005-05-10T07:40,2
3,250,1.000000,2005-05-10T07:50,3
3,250,1.000000,2005-05-10T08:00,1
3,4021,1.000000,2005-05-10T06:30,1
3,4021,1.000000,2005-05-10T07:00,1
3,4021,1.000000,2005-05-10T07:30,2
3,4030,1.000000,2005-05-10T07:20,1
3,4034,1.000000,2005-05-10T07:00,1
3,4038,1.000000,2005-05-10T07:40,1
3,4040,1.000000,2005-05-10T06:10,1
3,4040,1.000000,2005-05-10T06:20,1
3,4062,1.000000,2005-05-10T07:10,1
3,4084,1.000000,2005-05-10T07:40,2
3,4601,1.000000,2005-05-10T07:30,1
3,23001,1.000000,2005-05-10T06:10,1
3,23001,1.000000,2005-05-10T06:20,1
3,23001,1.000000,2005-05-10T06:30,1
3,23001,1.000000,2005-05-10T07:00,1
3,23004,1.000000,2005-05-10T07:30,1
3,26101,1.000000,2005-05-10T06:10,3
3,26101,1.000000,2005-05-10T06:20,3
3,26101,1.000000,2005-05-10T06:30,2
3,26101,1.000000,2005-05-10T06:40,3
3,26101,1.000000,2005-05-10T06:50,2
3,26101,1.000000,2005-05-10T07:10,4
3,26101,1.000000,2005-05-10T07:20,3
3,26101,1.000000,2005-05-10T07:30,2
3,26101,1.000000,2005-05-10T07:40,3
3,26101,1.000000,2005-05-10T07:50,4
3,26101,1.000000,2005-05-10T08:00,5
3,26102,1.000000,2005-05-10T06:10,2
3,26102,1.000000,2005-05-10T06:30,1
3,26102,1.000000,2005-05-10T06:40,1
3,26102,1.000000,2005-05-10T07:00,1
3,26102,1.000000,2005-05-10T07:20,3
3,26102,1.000000,2005-05-10T07:30,2
3,26102,1.000000,2005-05-10T07:40,1
3,26102,1.000000,2005-05-10T07:50,5
3,26102,1.000000,2005-05-10T08:00,3
3,26103,1.000000,2005-05-10T06:10,2
3,26103,1.000000,2005-05-10T06:20,3
3,26103,1.000000,2005-05-10T06:30,1
3,26103,1.000000,2005-05-10T06:40,2
3,26103,1.000000,2005-05-10T06:50,1
3,26103,1.000000,2005-05-10T07:00,1
3,26103,1.000000,2005-05-10T07:10,3
3,26103,1.000000,2005-05-10T07:20,2
3,26103,1.000000,2005-05-10T07:40,1
3,26104,1.000000,2005-05-10T06:10,1
3,26104,1.000000,2005-05-10T06:20,2
3,26104,1.000000,2005-05-10T07:10,1
3,26104,1.000000,2005-05-10T07:20,2
3,26104,1.000000,2005-05-10T07:30,3
3,26104,1.000000,2005-05-10T07:40,1
3,26104,1.000000,2005-05-10T07:50,4
3,26105,1.000000,2005-05-10T06:10,1
3,26105,1.000000,2005-05-10T06:30,1
3,26105,1.000000,2005-05-10T06:40,1
3,26105,1.000000,2005-05-10T06:50,2
3,26105,1.000000,2005-05-10T07:00,1
3,26105,1.000000,2005-05-10T07:10,2
3,26105,1.000000,2005-05-10T07:20,1
3,26105,1.000000,2005-05-10T07:30,2
3,26105,1.000000,2005-05-10T07:40,1
3,26105,1.000000,2005-05-10T08:00,2
3,26106,1.000000,2005-05-10T07:20,2
3,26106,1.000000,2005-05-10T07:30,1
3,26106,1.000000,2005-05-10T07:50,1
3,26106,1.000000,2005-05-10T08:00,2
3,26107,1.000000,2005-05-10T06:10,2
3,26107,1.000000,2005-05-10T06:30,2
3,26107,1.000000,2005-05-10T06:40,1
3,26107,1.000000,2005-05-10T06:50,1
3,26107,1.000000,2005-05-10T07:10,1
3,26107,1.000000,2005-05-10T07:20,1
3,26107,1.000000,2005-05-10T07:40,2
3,26108,1.000000,2005-05-10T06:20,1
3,26108,1.000000,2005-05-10T06:40,1
3,26108,1.000000,2005-05-10T07:00,1
3,26108,1.000000,2005-05-10T07:20,1
3,26108,1.000000,2005-05-10T07:30,1
3,26108,1.000000,2005-05-10T08:00,2
3,26109,1.000000,2005-05-10T06:10,3
3,26109,1.000000,2005-05-10T06:20,1
3,26109,1.000000,2005-05-10T06:30,4
3,26109,1.000000,2005-05-10T06:40,2
3,26109,1.000000,2005-05-10T06:50,6
3,26109,1.000000,2005-05-10T07:00,4
3,26109,1.000000,2005-05-10T07:10,2
3,26109,1.000000,2005-05-10T07:20,5
3,26109,1.000000,2005-05-10T07:30,7
3,26109,1.000000,2005-05-10T07:40,6
3,26109,1.000000,2005-05-10T07:50,3
3,26109,1.000000,2005-05-10T08:00,3
3,26110,1.000000,2005-05-10T06:20,1
3,26110,1.000000,2005-05-10T06:30,1
3,26110,1.000000,2005-05-10T06:50,1
3,26110,1.000000,2005-05-10T07:20,2
3,26110,1.000000,2005-05-10T07:30,1
3,26110,1.000000,2005-05-10T07:40,2
3,26110,1.000000,2005-05-10T07:50,2
3,26110,1.000000,2005-05-10T08:00,2
3,26111,1.000000,2005-05-10T06:20,3
3,26111,1.000000,2005-05-10T07:10,3
3,26111,1.000000,2005-05-10T07:20,1
3,26111,1.000000,2005-05-10T07:30,2
3,26111,1.000000,2005-05-10T07:40,2
3,26111,1.000000,2005-05-10T07:50,3
3,26111,1.000000,2005-05-10T08:00,2
3,26112,1.000000,2005-05-10T06:50,1
3,26112,1.000000,2005-05-10T07:10,1
3,26112,1.000000,2005-05-10T07:40,2
5,1,1.000000,2005-05-10T07:10,1
5,2,1.000000,2005-05-10T06:10,1
5,2,1.000000,2005-05-10T06:20,1
5,2,1.000000,2005-05-10T06:30,1
5,2,1.000000,2005-05-10T06:40,1
5,2,1.000000,2005-05-10T06:50,1
5,2,1.000000,2005-05-10T07:00,2
5,2,1.000000,2005-05-10T07:10,3
5,2,1.000000,2005-05-10T07:20,3
5,2,1.000000,2005-05-10T07:30,5
5,2,1.000000,2005-05-10T07:40,4
5,2,1.000000,2005-05-10T07:50,4
5,2,1.000000,2005-05-10T08:00,2
5,3,1.000000,2005-05-10T06:10,1
5,3,1.000000,2005-05-10T07:20,1
5,3,1.000000,2005-05-10T07:30,3
5,3,1.000000,2005-05-10T07:50,1
5,3,1.000000,2005-05-10T08:00,3
5,13,1.000000,2005-05-10T06:40,1
5,13,1.000000,2005-05-10T06:50,1
5,14,1.000000,2005-05-10T06:10,1
5,14,1.000000,2005-05-10T06:30,1
5,14,1.000000,2005-05-10T07:30,1
5,14,1.000000,2005-05-10T07:40,1
5,52,1.000000,2005-05-10T06:20,1
5,52,1.000000,2005-05-10T06:30,1
5,52,1.000000,2005-05-10T06:40,1
5,52,1.000000,2005-05-10T07:20,1
5,57,1.000000,2005-05-10T08:00,1
5,62,1.000000,2005-05-10T06:30,2
5,64,1.000000,2005-05-10T06:10,1
5,66,1.000000,2005-05-10T06:10,1
5,66,1.000000,2005-05-10T06:30,1
5,66,1.000000,2005-05-10T07:40,1
5,69,1.000000,2005-05-10T06:30,1
5,69,1.000000,2005-05-10T07:10,1
5,85,1.000000,2005-05-10T07:20,1
5,96,1.000000,2005-05-10T06:40,1
5,97,1.000000,2005-05-10T06:20,1
5,97,1.000000,2005-05-10T07:40,1
5,121,1.000000,2005-05-10T06:30,1
5,121,1.000000,2005-05-10T06:40,1
5,131,1.000000,2005-05-10T08:00,1
5,139,1.000000,2005-05-10T06:30,1
5,141,1.000000,2005-05-10T06:50,1
